candidate_id,rank,score,reasoning
CAND_0010770,17,0.739557,"Recommendation Systems Engineer (15.2y exp) at Aganitha, Kolkata, West Bengal; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0071974,18,0.734418,"Senior AI Engineer (7.8y exp) at Netflix, Vizag, Andhra Pradesh; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0027691,19,0.718132,"NLP Engineer (6.5y exp) at Haptik, Pune, Maharashtra; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 15-day notice"
CAND_0098846,20,0.705975,"AI Engineer (7.6y exp) at upGrad, Indore, Madhya Pradesh; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0093912,21,0.703922,"Senior Data Scientist (5.3y exp) at Razorpay, Chandigarh, Chandigarh; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0013665,22,0.697747,"Senior Software Engineer (ML) (5.2y exp) at InMobi, Trivandrum, Kerala; career history shows hands-on retrieval/ranking/ML systems work; short 30-day notice"
CAND_0050454,23,0.692581,"AI Engineer (6.8y exp) at Rephrase.ai, Delhi, Delhi; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0091534,24,0.691309,"AI Engineer (16.6y exp) at Flipkart, Gurgaon, Haryana; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0010685,25,0.684975,"NLP Engineer (6.7y exp) at Rephrase.ai, Kolkata, West Bengal; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0053695,26,0.683061,"Recommendation Systems Engineer (5.8y exp) at Meesho, Bhubaneswar, Odisha; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 15-day notice"
CAND_0046525,27,0.682184,"Senior Machine Learning Engineer (6.1y exp) at Genpact AI, Pune, Maharashtra; adjacent engineering background, limited direct retrieval/ranking evidence; mentions evaluation/A-B testing experience"
CAND_0041669,28,0.681694,"Recommendation Systems Engineer (8.0y exp) at CRED, Noida, Uttar Pradesh; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0054394,29,0.678988,"Recommendation Systems Engineer (4.1y exp) at PharmEasy, Pune, Maharashtra; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0080766,30,0.678983,"Staff Machine Learning Engineer (8.8y exp) at Salesforce, Coimbatore, Tamil Nadu; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 0-day notice"
CAND_0077337,31,0.677496,"Staff Machine Learning Engineer (7.0y exp) at Paytm, Kochi, Kerala; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0011327,32,0.674084,"AI Research Engineer (6.3y exp) at Krutrim, Gurgaon, Haryana; career history shows hands-on retrieval/ranking/ML systems work"
CAND_0049538,33,0.666728,"Applied ML Engineer (5.8y exp) at Saarthi.ai, Jaipur, Rajasthan; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0077285,34,0.662558,"Recommendation Systems Engineer (5.5y exp) at Nykaa, Ahmedabad, Gujarat; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0000031,35,0.662018,"Recommendation Systems Engineer (6.0y exp) at Swiggy, Hyderabad, Telangana; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0024878,36,0.658944,"AI Specialist (5.7y exp) at HCL, Vizag, Andhra Pradesh; career history shows hands-on retrieval/ranking/ML systems work"
CAND_0081846,37,0.657866,"Lead AI Engineer (6.7y exp) at Razorpay, Jaipur, Rajasthan; adjacent engineering background, limited direct retrieval/ranking evidence; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0053605,38,0.657198,"Senior Software Engineer (ML) (6.9y exp) at Verloop.io, Noida, Uttar Pradesh; career history shows hands-on retrieval/ranking/ML systems work; short 30-day notice"
CAND_0095619,39,0.654411,"NLP Engineer (15.6y exp) at Nykaa, Mumbai, Maharashtra; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0081852,40,0.653833,"Senior Data Scientist (5.9y exp) at Mad Street Den, Delhi, Delhi; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0079284,41,0.648013,"Machine Learning Engineer (4.9y exp) at Google, Hyderabad, Telangana; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0018549,42,0.64781,"Recommendation Systems Engineer (6.8y exp) at Uber, Coimbatore, Tamil Nadu; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0055905,43,0.645064,"Senior Machine Learning Engineer (8.1y exp) at Flipkart, London; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0005260,44,0.639829,"Senior NLP Engineer (5.2y exp) at Netflix, Chennai, Tamil Nadu; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0095528,45,0.63904,"Senior Data Scientist (5.3y exp) at Netflix, Indore, Madhya Pradesh; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0052328,46,0.636498,"Recommendation Systems Engineer (6.5y exp) at Amazon, Pune, Maharashtra; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0037980,47,0.636078,"Senior Applied Scientist (9.0y exp) at Niramai, Kolkata, West Bengal; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 0-day notice"
CAND_0036437,48,0.635871,"Search Engineer (4.8y exp) at Rephrase.ai, Kolkata, West Bengal; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0062247,49,0.634925,"AI Engineer (7.3y exp) at Google, Kochi, Kerala; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0065195,50,0.633115,"Search Engineer (5.1y exp) at CRED, Kolkata, West Bengal; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0057563,51,0.631449,"NLP Engineer (6.8y exp) at Locobuzz, Indore, Madhya Pradesh; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0006567,52,0.629633,"Senior AI Engineer (7.9y exp) at Meta, Noida, Uttar Pradesh; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0010257,53,0.629084,"Senior Data Scientist (6.5y exp) at Google, Noida, Uttar Pradesh; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; long 120-day notice (down-weighted)"
CAND_0061257,54,0.626053,"Staff Machine Learning Engineer (8.0y exp) at LinkedIn, Noida, Uttar Pradesh; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0066999,55,0.623983,"Recommendation Systems Engineer (5.9y exp) at Microsoft, Delhi, Delhi; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 15-day notice"
CAND_0078042,56,0.616996,"Applied ML Engineer (4.7y exp) at PolicyBazaar, Dubai; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0015528,57,0.613251,"Applied ML Engineer (7.4y exp) at Krutrim, Coimbatore, Tamil Nadu; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0065878,58,0.61322,"Senior Data Scientist (7.8y exp) at Niramai, Trivandrum, Kerala; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 15-day notice"
CAND_0067535,59,0.612435,"Junior ML Engineer (6.8y exp) at Locobuzz, Jaipur, Rajasthan; career history shows hands-on retrieval/ranking/ML systems work"
CAND_0011162,60,0.60997,"Recommendation Systems Engineer (5.8y exp) at upGrad, Coimbatore, Tamil Nadu; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0068351,61,0.609578,"Lead AI Engineer (6.4y exp) at Sarvam AI, Delhi, Delhi; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 0-day notice"
CAND_0014440,62,0.607737,"Recommendation Systems Engineer (6.4y exp) at CRED, Chennai, Tamil Nadu; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0046132,63,0.606837,"AI Research Engineer (4.3y exp) at Verloop.io, Noida, Uttar Pradesh; career history shows hands-on retrieval/ranking/ML systems work; short 30-day notice"
CAND_0083879,64,0.604458,"Machine Learning Engineer (7.1y exp) at Ola, Noida, Uttar Pradesh; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0005649,65,0.603532,"Senior Data Scientist (7.4y exp) at Sarvam AI, Delhi, Delhi; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0076163,66,0.602929,"NLP Engineer (6.9y exp) at Ola, Chandigarh, Chandigarh; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0078002,67,0.601051,"Machine Learning Engineer (6.3y exp) at Meta, Coimbatore, Tamil Nadu; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0041402,68,0.600179,"AI Specialist (6.3y exp) at Ola, Vizag, Andhra Pradesh; career history shows hands-on retrieval/ranking/ML systems work"
CAND_0066035,69,0.600123,"Data Scientist (6.7y exp) at Razorpay, Kolkata, West Bengal; career history shows hands-on retrieval/ranking/ML systems work"
CAND_0099401,70,0.598864,"NLP Engineer (7.7y exp) at Dream11, Ahmedabad, Gujarat; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0017178,71,0.597657,"ML Engineer (4.2y exp) at Swiggy, Hyderabad, Telangana; career history shows hands-on retrieval/ranking/ML systems work; short 30-day notice"
CAND_0072091,72,0.595188,"ML Engineer (4.6y exp) at Krutrim, Trivandrum, Kerala; career history shows hands-on retrieval/ranking/ML systems work; short 30-day notice"
CAND_0099806,73,0.594427,"AI Engineer (4.6y exp) at Mad Street Den, Bhubaneswar, Odisha; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0050876,74,0.592382,"Applied ML Engineer (6.0y exp) at Freshworks, Kolkata, West Bengal; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0058688,75,0.590756,"AI Engineer (6.7y exp) at Vedantu, Berlin; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 15-day notice"
CAND_0008425,76,0.587047,"Senior NLP Engineer (7.8y exp) at Ola, Kolkata, West Bengal; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0032515,77,0.586338,"Machine Learning Engineer (5.1y exp) at PharmEasy, Seattle; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0015493,78,0.581232,"Data Scientist (6.4y exp) at CRED, Vizag, Andhra Pradesh; career history shows hands-on retrieval/ranking/ML systems work; short 30-day notice"
CAND_0067717,79,0.577973,"AI Specialist (6.9y exp) at Aganitha, Noida, Uttar Pradesh; career history shows hands-on retrieval/ranking/ML systems work"
CAND_0042506,80,0.577078,"Search Engineer (4.2y exp) at Verloop.io, Mumbai, Maharashtra; adjacent engineering background, limited direct retrieval/ranking evidence; mentions evaluation/A-B testing experience; short 15-day notice"
CAND_0086022,81,0.576699,"Senior Applied Scientist (5.3y exp) at Sarvam AI, Kolkata, West Bengal; adjacent engineering background, limited direct retrieval/ranking evidence; mentions evaluation/A-B testing experience; short 0-day notice"
CAND_0064270,82,0.575582,"Applied ML Engineer (4.2y exp) at Verloop.io, Pune, Maharashtra; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0080051,83,0.575093,"Data Scientist (5.2y exp) at Niramai, Gurgaon, Haryana; career history shows hands-on retrieval/ranking/ML systems work; short 30-day notice"
CAND_0051292,84,0.574219,"Applied ML Engineer (5.2y exp) at Freshworks, Trivandrum, Kerala; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0061265,85,0.572439,"Recommendation Systems Engineer (6.6y exp) at Zoho, Delhi, Delhi; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; long 120-day notice (down-weighted)"
CAND_0044222,86,0.571911,"AI Engineer (7.7y exp) at PolicyBazaar, Vizag, Andhra Pradesh; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0087364,87,0.571523,"Recommendation Systems Engineer (4.9y exp) at Glance, Gurgaon, Haryana; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0070589,88,0.568644,"ML Engineer (3.5y exp) at Meesho, Bangalore, Karnataka; career history shows hands-on retrieval/ranking/ML systems work"
CAND_0042029,89,0.568274,"Senior Data Scientist (6.5y exp) at Flipkart, Delhi, Delhi; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0078492,90,0.567311,"Recommendation Systems Engineer (5.1y exp) at Verloop.io, Kochi, Kerala; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0087006,91,0.56613,"Senior Software Engineer (ML) (5.7y exp) at Saarthi.ai, Chennai, Tamil Nadu; career history shows hands-on retrieval/ranking/ML systems work"
CAND_0045250,92,0.565846,"Applied ML Engineer (6.6y exp) at Rephrase.ai, Delhi, Delhi; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 15-day notice"
CAND_0004402,93,0.565725,"AI Research Engineer (6.0y exp) at Yellow.ai, Delhi, Delhi; career history shows hands-on retrieval/ranking/ML systems work"
CAND_0077296,94,0.563586,"Computer Vision Engineer (5.8y exp) at Ola, Vizag, Andhra Pradesh; career history shows hands-on retrieval/ranking/ML systems work"
CAND_0059795,95,0.561556,"Senior Software Engineer (ML) (5.6y exp) at Locobuzz, Mumbai, Maharashtra; career history shows hands-on retrieval/ranking/ML systems work"
CAND_0032179,96,0.561017,"Computer Vision Engineer (6.4y exp) at InMobi, Sydney; career history shows hands-on retrieval/ranking/ML systems work"
CAND_0088025,97,0.559787,"Staff Machine Learning Engineer (8.6y exp) at Yellow.ai, Jaipur, Rajasthan; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0015065,98,0.559216,"AI Research Engineer (3.9y exp) at Flipkart, Delhi, Delhi; career history shows hands-on retrieval/ranking/ML systems work"
CAND_0030468,99,0.557686,"Senior Applied Scientist (5.4y exp) at Swiggy, Indore, Madhya Pradesh; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0068932,100,0.556742,"ML Engineer (5.2y exp) at Krutrim, Noida, Uttar Pradesh; career history shows hands-on retrieval/ranking/ML systems work; short 30-day notice"
